uri,transliteration,place_label,toponyms,type_label,geometry_type,geometry_coords
ANDALUS_040E398N_R,al-Andalus,,,regions,Point,"(-4.0521, 39.88926)"
BARQA_221E314N_R,Barqaŧ,,,regions,Point,"(22.1, 31.4)"
CENTRAL_ARABIA_416E227N_R,al-Ḥijāz+,,,regions,Point,"(41.65725, 22.78726)"
IFRIQIYYA_78E349N_R,Ifriqiyyā,,,regions,Point,"(7.8, 34.9)"
IRAQ_459E319N_R,al-ʿIrāq,,,regions,Point,"(45.96, 31.9)"
JAZIRA_420E364N_R,al-Jazīraŧ,,,regions,Point,"(42.05, 36.41)"
MAGHRIB_045E323N_R,al-Maġrib,,,regions,Point,"(-4.52149, 32.30201)"
MAWARANNAHR_656E401N_R,Mā warāʾ al-nahr,,,regions,Point,"(65.61472, 40.1917)"
MISR_305E292N_R,Miṣr,,,regions,Point,"(30.52, 29.23)"
NE_IRAN_606E351N_R,Ḫurāsān,,,regions,Point,"(60.61524, 35.17917)"
NW_IRAN_515E356N_R,al-Jibāl+,,,regions,Point,"(51.50831, 35.62754)"
QABQ_457E413N_R,al-Riḥāb,,,regions,Point,"(45.79, 41.33)"
RUM_335E392N_R,al-Rūm,,,regions,Point,"(33.57, 39.21)"
SE_ARABIA_556E220N_R,ʿUmān+,,,regions,Point,"(55.67, 22.01)"
SE_IRAN_656E286N_R,Sījīstān+,,,regions,Point,"(65.61472, 28.62665)"
SHAM_363E335N_R,al-Šām,,,regions,Point,"(36.30199, 33.51843)"
SIQILIYYA_145E375N_R,Ṣiqiliyyaŧ,,,regions,Point,"(14.5, 37.57)"
SW_ARABIA_456E158N_R,al-Yaman,,,regions,Point,"(45.68, 15.82)"
SW_IRAN_540E294N_R,Fārs+,,,regions,Point,"(54.00, 29.43)"
